날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(월-일-시),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
01-24-11,16,13,0.026,0.022,0.4,0.003
01-24-12,10,7,0.029,0.018,0.4,0.003
01-24-13,10,6,0.029,0.019,0.4,0.003
01-24-14,11,6,0.031,0.020,0.4,0.003
01-24-15,15,11,0.033,0.018,0.4,0.003
01-24-16,12,8,0.030,0.022,0.4,0.003
01-24-17,16,7,0.026,0.029,0.4,0.003
01-24-18,14,9,0.034,0.017,0.4,0.002
01-24-19,12,8,0.022,0.031,0.4,0.003
01-24-20,16,10,0.009,0.047,0.5,0.003
01-24-21,19,12,0.003,0.055,0.7,0.003
01-24-22,20,13,0.002,0.057,0.8,0.003
01-24-23,20,13,0.002,0.055,0.7,0.003
01-24-24,16,11,0.002,0.056,0.8,0.003
01-25-01,16,10,0.002,0.052,0.7,0.002
01-25-02,16,10,0.002,0.054,0.8,0.003
01-25-03,19,14,0.002,0.054,0.8,0.002
01-25-04,20,14,0.002,0.056,0.9,0.003
01-25-05,22,18,0.002,0.051,0.8,0.003
01-25-06,19,14,0.002,0.050,0.8,0.003
01-25-07,21,15,0.002,0.052,0.9,0.003
01-25-08,20,13,0.002,0.051,0.9,0.003
01-25-09,24,13,0.002,0.053,0.9,0.004
01-25-10,25,14,0.004,0.048,0.8,0.003
01-25-11,24,15,0.008,0.043,0.7,0.003
01-25-12,21,12,0.012,0.038,0.6,0.003
01-25-13,24,11,0.014,0.036,0.6,0.003
01-25-14,23,13,0.015,0.036,0.6,0.003
01-25-15,28,15,0.016,0.037,0.5,0.003
01-25-16,24,14,0.017,0.036,0.5,0.003
01-25-17,25,13,0.017,0.036,0.5,0.003
01-25-18,25,14,0.010,0.046,0.6,0.004
01-25-19,34,16,0.005,0.052,0.6,0.003
01-25-20,31,17,0.004,0.055,0.7,0.003
01-25-21,38,25,0.003,0.063,1.0,0.004
01-25-22,37,23,0.003,0.063,1.1,0.004
01-25-23,46,30,0.003,0.072,1.0,0.005
01-25-24,60,37,0.003,0.074,1.1,0.005
01-26-01,65,38,0.003,0.071,1.0,0.005
01-26-02,52,34,0.002,0.068,0.9,0.005
01-26-03,45,31,0.003,0.065,1.0,0.005
01-26-04,43,25,0.002,0.066,1.1,0.005
01-26-05,40,21,0.002,0.060,1.0,0.004
01-26-06,32,18,0.003,0.054,0.8,0.004
01-26-07,30,16,0.002,0.052,0.7,0.004
01-26-08,42,29,0.003,0.057,0.8,0.004
01-26-09,61,44,0.003,0.055,0.8,0.004
01-26-10,58,40,0.003,0.055,0.7,0.004
01-26-11,60,40,0.003,0.061,0.9,0.004
01-26-12,49,32,0.003,0.057,0.9,0.004
01-26-13,39,24,0.004,0.049,0.7,0.004
01-26-14,43,29,0.006,0.047,0.7,0.004
01-26-15,63,46,0.005,0.050,0.6,0.004
01-26-16,73,49,0.003,0.052,0.6,0.003
01-26-17,71,44,0.003,0.048,0.5,0.003
01-26-18,50,27,0.010,0.032,0.5,0.003
01-26-19,34,20,0.020,0.021,0.6,0.003
01-26-20,27,19,0.026,0.019,0.6,0.003
01-26-21,33,25,0.029,0.017,0.6,0.003
01-26-22,37,29,0.031,0.018,0.8,0.003
01-26-23,40,32,0.028,0.020,0.8,0.003
01-26-24,43,34,0.022,0.026,0.9,0.003
01-27-01,47,38,0.019,0.027,0.9,0.003
01-27-02,55,42,0.021,0.024,0.9,0.003
01-27-03,60,38,0.025,0.018,0.8,0.004
01-27-04,60,33,0.027,0.014,0.7,0.004
01-27-05,61,28,0.027,0.014,0.6,0.004
01-27-06,58,27,0.022,0.021,0.6,0.003
01-27-07,57,22,0.020,0.022,0.5,0.004
01-27-08,50,19,0.012,0.032,0.6,0.003
01-27-09,50,21,0.010,0.037,0.6,0.004
01-27-10,43,14,0.017,0.028,0.5,0.003
01-27-11,40,15,0.023,0.021,0.5,0.003
01-27-12,35,12,0.026,0.019,0.4,0.003
01-27-13,28,9,0.033,0.012,0.4,0.003
01-27-14,25,7,0.035,0.009,0.3,0.003
01-27-15,30,10,0.036,0.009,0.3,0.003
01-27-16,31,9,0.036,0.010,0.3,0.003
01-27-17,31,10,0.031,0.015,0.3,0.003
01-27-18,31,11,0.027,0.020,0.4,0.003
01-27-19,36,12,0.015,0.036,0.4,0.003
01-27-20,36,14,0.016,0.033,0.4,0.003
01-27-21,36,13,0.010,0.041,0.5,0.003
01-27-22,35,15,0.006,0.048,0.5,0.003
01-27-23,36,15,0.005,0.048,0.5,0.004
01-27-24,36,15,0.003,0.051,0.6,0.004
01-28-01,38,16,0.004,0.048,0.7,0.003
01-28-02,36,16,0.004,0.047,0.6,0.004
01-28-03,36,14,0.002,0.053,0.7,0.004
01-28-04,37,16,0.002,0.053,0.7,0.004
01-28-05,43,18,0.002,0.052,0.7,0.003
01-28-06,40,17,0.002,0.052,0.7,0.004
01-28-07,40,16,0.002,0.054,0.7,0.004
01-28-08,42,16,0.002,0.060,0.8,0.004
01-28-09,43,18,0.003,0.060,0.8,0.005
01-28-10,58,22,0.004,0.052,0.7,0.004
01-28-11,61,27,0.004,0.046,0.8,0.004
01-28-12,,,,,,
01-28-13,,,0.031,0.012,0.5,0.003
01-28-14,39,21,0.033,0.011,0.5,0.003
01-28-15,34,16,0.034,0.010,0.4,0.003
01-28-16,33,18,0.035,0.009,0.4,0.003
01-28-17,27,12,0.035,0.009,0.3,0.003
01-28-18,23,8,0.033,0.010,0.3,0.003
01-28-19,26,5,0.033,0.010,0.3,0.002
01-28-20,23,9,0.031,0.010,0.4,0.002
01-28-21,23,13,0.030,0.009,0.4,0.003
01-28-22,21,8,0.030,0.008,0.3,0.002
01-28-23,22,9,0.028,0.009,0.3,0.002
01-28-24,26,8,0.030,0.007,0.3,0.003
01-29-01,32,10,0.031,0.006,0.3,0.002
01-29-02,30,7,0.030,0.006,0.3,0.003
01-29-03,31,9,0.029,0.007,0.3,0.003
01-29-04,29,9,0.030,0.007,0.3,0.003
01-29-05,28,9,0.029,0.008,0.3,0.002
01-29-06,25,9,0.026,0.011,0.3,0.003
01-29-07,25,7,0.022,0.015,0.4,0.002
01-29-08,22,8,0.023,0.015,0.4,0.003
01-29-09,20,8,0.023,0.016,0.4,0.002
01-29-10,20,8,0.026,0.013,0.4,0.002
01-29-11,21,9,0.029,0.008,0.3,0.002
01-29-12,18,8,0.031,0.008,0.3,0.002
01-29-13,17,7,0.033,0.006,0.3,0.002
01-29-14,22,11,0.032,0.008,0.3,0.002
01-29-15,24,12,0.032,0.008,0.3,0.003
01-29-16,23,11,0.032,0.008,0.3,0.003
01-29-17,26,15,0.030,0.012,0.4,0.002
01-29-18,25,11,0.029,0.014,0.3,0.003
01-29-19,25,10,0.026,0.017,0.4,0.003
01-29-20,24,11,0.022,0.020,0.4,0.002
01-29-21,25,12,0.022,0.021,0.4,0.002
01-29-22,25,12,0.010,0.034,0.4,0.002
01-29-23,27,14,0.005,0.043,0.5,0.002
01-29-24,31,13,0.003,0.045,0.5,0.002
01-30-01,32,13,0.005,0.043,0.5,0.003
01-30-02,30,14,0.011,0.033,0.5,0.002
01-30-03,34,15,0.003,0.045,0.5,0.002
01-30-04,34,16,0.002,0.045,0.6,0.003
01-30-05,35,14,0.008,0.036,0.5,0.003
01-30-06,35,16,0.013,0.029,0.5,0.002
01-30-07,37,17,0.004,0.041,0.5,0.002
01-30-08,38,17,0.002,0.043,0.5,0.002
01-30-09,,21,0.002,0.043,0.6,0.002
01-30-10,,20,0.004,0.043,0.6,0.002
01-30-11,51,22,0.006,0.040,0.6,0.002
01-30-12,49,23,0.009,0.040,0.6,0.002
01-30-13,58,28,0.009,0.044,0.7,0.003
01-30-14,80,40,0.012,0.044,0.6,0.004
01-30-15,108,50,0.027,0.023,0.5,0.003
01-30-16,81,33,0.030,0.017,0.4,0.004
01-30-17,65,28,0.027,0.022,0.4,0.003
01-30-18,52,22,0.028,0.020,0.4,0.003
01-30-19,52,23,0.022,0.029,0.5,0.003
01-30-20,58,27,0.020,0.032,0.5,0.002
01-30-21,64,32,0.008,0.048,0.7,0.003
01-30-22,69,33,0.003,0.055,0.7,0.003
01-30-23,75,39,0.002,0.059,0.9,0.003
01-30-24,76,37,0.006,0.050,0.7,0.003
01-31-01,77,38,0.004,0.052,0.8,0.003
01-31-02,72,36,0.003,0.052,0.8,0.003
01-31-03,62,30,0.003,0.050,0.7,0.003
01-31-04,55,28,0.002,0.054,0.8,0.003
01-31-05,60,26,0.002,0.050,0.8,0.004
01-31-06,58,28,0.002,0.050,0.8,0.003
01-31-07,58,30,0.002,0.049,0.8,0.003
01-31-08,56,29,0.002,0.047,0.7,0.003
01-31-09,58,30,0.006,0.041,0.7,0.003
01-31-10,56,28,0.014,0.029,0.6,0.004
01-31-11,60,31,0.018,0.027,0.5,0.003
01-31-12,57,29,0.017,0.031,0.6,0.003
01-31-13,57,28,0.019,0.031,0.5,0.003
01-31-14,60,30,0.020,0.030,0.5,0.004
01-31-15,61,29,0.023,0.030,0.5,0.004
01-31-16,62,24,0.019,0.037,0.5,0.004
01-31-17,63,23,0.015,0.044,0.6,0.004
01-31-18,62,25,0.007,0.053,0.6,0.003
01-31-19,65,26,0.002,0.064,0.7,0.004
01-31-20,66,28,0.003,0.068,1.0,0.004
01-31-21,68,30,0.003,0.068,1.0,0.004
01-31-22,65,28,0.002,0.068,1.0,0.004
01-31-23,66,31,0.003,0.070,1.0,0.004
01-31-24,63,28,0.002,0.069,1.0,0.004
,,,,,,
